Kiss Me You Fool,Dansfeest,15/07/2011,22:00,00:00,"Tijuana, Schuurkenstraat 2, Gent",1,1000,51.0534682,3.7217767
Agnes Obel,Agnes Obel was de afgelopen maanden prominent aanwezig op de radio met haar single ‘Riverside’ en lijkt ook in België de deur naar de doorbraak definitief geopend te hebben met een uitverkochte passage in de Muziekodroom in Hasselt en de AB.,15/07/2011,18:30,19:45,"Bijlokesite, Godshuizenlaan 2, Gent",0,5000,51.0439708,3.7151519
Sound of Stereo (BE),"Wobblin' Belgisch fidget dj duo dat verdomme goed bezig is. Treden bijzonder vaak op, brengen succesvolle releases uit en worden gedraaid  en geremixt door grote internationale namen (Crookers, Bloody Beetroots, Jokers Of The Scene, ...).  Heads Up!",15/07/2011,23:00,05:55,"10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000,51.05665,3.72
Dj Koentje,Zaal: dé Gentse feestenkampioen,15/07/2011,23:00,05:55,"Charlatan, Vlasmarkt 6, Gent",1,1000,51.0560619,3.7282741
Boris Dlugosch (GER),"Boris Dlugosch is een elektronica-producer uit Duitsland. Hij is voornamelijk bekend door zijn funky/house muziek en samenwerkingen met Mousse T. en Michi Lange, zijn partners van het Peppermint Jam Records label, Daft Punk en Roisin Murphy.",15/07/2011,23:00,05:55,"10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000,51.05665,3.72
Absynthe Minded,"Absynthe Minded groeide de afgelopen tien jaar uit tot een van de populairste vaderlandse bands. Met hun mix van blues, swing, jazz, zigeunermuziek en folk hebben ze zich bovendien een heel eigen terrein verworven binnen het Belgische muzieklscene.",15/07/2011,20:30,21:45,"Bijlokesite, Godshuizenlaan 2, Gent",0,5000,51.0439708,3.7151519
"Bert Gabriëls - TRY-OUT Druk, druk, druk","Bert Gabriëls serveert een try-out : een opeenstapeling van herkenbare situatie-comedy, grappige kritische bedenkingen bij onze kleine onhebbelijkheden, rake klappen aan de verzuurde samenleving en natuurlijk een flinke dosis absurde humor.",15/07/2011,22:30,23:50,"Domzaal - Kunstencentrum Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000,51.05665,3.72
Sigi (BE),"De Diesel-U-Music Award winnen in een categorie zo breed als die van rock/pop/electro, en dat in een op dat vlak niet bijzonder onproductief België: wij geven het u te doen! Sigi deed het (en doet het), zonder eigen producties en strictly met vinyl.",15/07/2011,23:00,05:55,"10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000,51.05665,3.72
Wouter Deprez - Je Zal Alles Worden,"De allerlaatste voorstellingen van ""Je Zal Alles Worden"" van Wouter Deprez.    Dinner seats: € 60",15/07/2011,20:00,23:00,"CAPITOLE GENT, Graaf van Vlaanderenplein 5, Gent",1,5000,51.0480347,3.7319393
The Tellers,"Zaal: Indiepop uit Wallonië, geïnspireerd door The Libertines & The Strokes",15/07/2011,22:00,23:00,"Charlatan, Vlasmarkt 6, Gent",0,1000,51.0560619,3.7282741
"GATE 7 , De Musical",Jongerenmusical,15/07/2011,21:00,22:45,"Theater SCALA, Dendermondsesteenweg 163-165, Gent",0,1000,51.0524071,3.7533519
Vitalski - De Gelaarsde Kat,"Een hilarische vertelling zoals alleen Vitalski dit kan; een roetsjbaan van krankzinnige vondsten, erotische bespiegelingen en indringende filosofieën. 70 minuten doorlachen, ook voor mensen die toevallig met een depressie de zaal binnen komen...",15/07/2011,19:30,21:00,"Domzaal - Kunstencentrum Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000,51.05665,3.72
Dr. Lektroluv (BE),"De groene peetvader van de Belgische electro opstoot. Internationaal succesvol Dj én opperdokter van Lektroluv Records: een platenlabel waarop hij schoon volk zoals The Subs, Sound Of Stereo, Mumbai Science en Highbloo heeft zitten.",15/07/2011,23:00,05:55,"10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000,51.05665,3.72
Maxim Lany,Barbaar: Gekend van Lany Recordings,15/07/2011,23:30,05:55,"Charlatan, Vlasmarkt 6, Gent",1,1000,51.0560619,3.7282741
Mumbai Science (BE),"Science does not know its debt to imagination.  Mumbai Science: 2 jonge Belgische wetenschappers die specialiseren in electro, techno en wat daar zoal tussen ligt. Belgisch producers- en deejaytalent, met in 2011 oa een tour in de USA op stapel!",15/07/2011,23:00,05:55,"10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000,51.05665,3.72
Angus & Julia Stone,Het singer-songwriterduo Angus & Julia Stone behoort tot de absolute top van wat Australië op muzikaal vlak te bieden heeft.,15/07/2011,22:30,00:00,"Bijlokesite, Godshuizenlaan 2, Gent",0,5000,51.0439708,3.7151519
