"Titel","Omschrijving","datum","begin","einde","Plaats","Indoor","deelnemers"
"Afscheid van de waalse krook","Tentoonstelling Michel Flamme, Sarah Van de Vijver, Prez",17/07/2011,"14:00","23:00","usEUm, Platteberg 19, Gent",0,50
"De Nico Lenny Show","Voor de éérste maal organiseert vzw Dreidekker Producties ""de Nico Lenny Show"". Humor, zang en dans in een wervelende show met Nico Lenny. Nico laat de Revue herleven samen met vader Bert Lenny en Jong Gents talent: Caressa, Malika en Dansgroep D-Crew",21/07/2011,"20:00","22:30","School De Wingerd, Neermeerskaai 1a, Gent",1,1000
"Rondleidingen in Hotel d'Hane Steenhuyse","Uitzonderlijk kan het Hotel d'Hane Steenhuyse - een 18de-eeuws stadspaleis - onder begeleiding van een gids worden bezocht.",18/07/2011,"15:30","16:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,100
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",23/07/2011,"15:45","16:30","Sint-Baafssite, Gandastraat , Gent",0,50
"Rosa / De Laatste Roos","Twee komische monologen voor de prijs van één:   Roza: een wc-madam en de mannen in haar leven.  De Laatste Roos: een lustige weduwe opnieuw verliefd.  Tekst en regie: Frans Van Lancker.  Spel: Natalie Donck",20/07/2011,"15:30","17:30","Brasserie Yanko, Henleykaai 4, Gent",1,100
"Kinderactiviteit : vijverwriemels","Neem zelf een waterstaal uit de vijver en onderzoek het onder een microscoop. Dagelijks om 9u stipt. Ingang via Plantentuin.Reserveren nodig.",24/07/2011,"09:00","10:20","Museum voor Dierkunde, Karel Lodewijk Ledeganckstraat 35, Gent",0,50
"Tentoonstelling Compostela","De figuur van Sint Jacob en de bedevaarten naar Compostela in het volksgeloof",19/07/2011,"14:30","17:30","Sint-Jacobskerk, Bij Sint-Jacobs , Gent",0,1000
"Rondleidingen in Hotel d'Hane Steenhuyse","Uitzonderlijk kan het Hotel d'Hane Steenhuyse - een 18de-eeuws stadspaleis - onder begeleiding van een gids worden bezocht.",23/07/2011,"17:00","18:00","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,100
"Snuisteren in de Oude Kalevallei: Fiets- of wandelzoektocht voor groot en klein.","Slechts een paar kilometer van Gent centrum verwijderd, werd een verborgen parel toegankelijk gemaakt voor het publiek, de Oude Kalevallei. Tijdens de Gentse feesten kunnen klein en groot dit prachtige landschap op een speelse manier gaan ontdekken!",25/07/2011,"00:00","00:00","Drongenplein 1, Drongen",0,1000
"De Piratenboot + gratis ijsje. Duur 40 min.","Maat Piraat springt aan boord want boeven zitten hem op de hielen. We gaan per boot op zoek naar een geheime schat en hij vertelt onderweg geweldige verhalen over zijn wedervaren om zijn droom te vervullen...",17/07/2011,"17:00","17:40","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"Ed & Kim","Barbaar: gekend van o.a. Stubru",16/07/2011,"02:30","05:55","Charlatan, Vlasmarkt 6, Gent",1,1000
"Buffetformule of BBQ","Soep, saladebar, 10 verschillende Hoofdschotels, diverse desserten. Reservatie bevestigd bij betaling en afhaling kaarten. Zitplaatsen verzekerd !",19/07/2011,"17:30","22:00","Brasserie Het Volk, Poel 7, Gent",0,50
"Chansons à la carte met Guido Belcanto en Derek","Van Derek weten we al langer dat hij graag in het Frans zingt, maar dat ook Guido Belcanto een zwak heeft voor het Franse lied is een groter geheim! Samen met muzikanten Yves Meersschaert en Mario Vermandel brengen ze hun favoriete Franstalige chansons.",18/07/2011,"17:30","19:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"Godshuizen, gasthuizen en hospices - de Gentse hospitalen","De Gentse armenzorg is eeuwenoud. Wat was de rol van de Kerk, de invloed van Keizer Karel, wat deed het Gentse stadsbestuur? Een wandeling langs verdwenen en nog bestaande infirmerieën, spitalen en pesthuizen.",21/07/2011,"16:00","18:00","Bisschoppelijk paleis, Bisdomplein /, Gent",0,50
"Poppenspel : Dag Jules! Kijk eens wat ik kan","Het wordt een leuke dag voor Jules. Hij heeft nieuwe schoenen. Jules laat de kinderen zien wat hij allemaal kan in de poppenkast. Spelen, springen, dansen... en dan op tijd naar bed. voor kinderen van 2 tot 3 jaar. Dit i.s.m. met Uitgeverij Zwijsen",20/07/2011,"15:00","15:30","Monasterium PoortAckere, Oude Houtlei 56, Gent",0,50
"TAPtoe - TapTOE","Een tentoonstelling van het erfgoed van het Gentse Figurentheater Taptoe. Een archiefkamer, een muziekkamer en de 10 topstukken geven een mooie inkijk in de boeiende carrière van Taptoe. Een theatrale setting met meer dan 200 poppen in het provinciehuis.",24/07/2011,"10:00","17:00","Provinciehuis, Gouvernementstraat 1, Gent",1,100
"Movieguide Filips en Mathilde","Het Gravensteen is een van de topmonumenten van Gent. Via de movieguide ‘Filips en Mathilde’ komt het verre en bewogen verleden van deze versterkte burcht werkelijk tot leven.",22/07/2011,"09:00","18:00","Gravensteen, Sint-Veerleplein , Gent",0,50
"Café-Chantant","Een mengelmoes van Gentse liedjes. Zitplaats niet verzekerd zonder ontbijt",22/07/2011,"11:00","13:00","Brasserie Het Volk, Poel 7, Gent",0,50
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",21/07/2011,"18:00","18:45","Sint-Baafssite, Gandastraat , Gent",0,50
"Oosterlengte","Oosterlengte is een verhaal van twee verhalen. Het ene speelt zich af aan deze kant van de wereld. Het andere begint aan de andere kant van de wereld, en maakt een lange reis totdat beide verhalen elkaar aanraken.",16/07/2011,"20:30","22:00","Theaterzaal Steinerschool, Kasteellaan 54, Gent",0,50
"Diafaan V. Hedendaagse glaskunst in Vlaanderen","'Diafaan' is een biënale tentoonstelling over hedendaagse glaskunst in Vlaanderen die voor de vijfde keer plaatsvindt in het Begijnhof van Sint-Amandsberg. In het hof worden op verschillende plaatsen, binnen en buiten, werk van kunstenaars getoond.",17/07/2011,"13:00","18:00","Begijnhof Sint-Amandsberg, Jan Roomsstraat , Sint-Amandsberg",1,50
"Leute!","Theaterfenomeen Jozef (Sef) Vanneste in een menselikke vwoorstellinge uut het leven gegrepen, met ne lach en ne troan. Wok toegankelijk en begrijpelijk voe niet-West-Vlamingen wei!",19/07/2011,"15:00","16:00","Tinnenpot, Tinnenpotstraat 21, Gent",1,100
"Vier zonder ruuk deur 't Spelleke van Dei Kluite","Een nieuwe revue, veur alle  gruute kientsjes die Gent kenne en Gents verstoan mee stijte muile Pierke Pierlala in d'uuftrolle.",23/07/2011,"22:00","23:30","Lakenmetershuis/Willemsfonds -Vrijdagsmarkt, Vrijdagmarkt 24-25, Gent",1,1000
"Kinderopvang & knutselatelier Casa Rosa","door de vrijwilligers (v/m) van Casa Rosa wordt dagelijkse kinderopvang georganiseerd, met knutsel activiteiten. Voor kleinere kinderen is er een luier ververs tafel voorzien.",22/07/2011,"14:00","18:00","Salon van Casa Rosa vzw, Kammerstraat 22, Gent",0,50
"Steam vs Rotation","Zaal: Decadance presents Drum 'n Bass & Dubstep met dj's Murdock, Bunzero, Madlock, Hookerz, NGA (Gaz, Allspark & MC Nice), Ideaz & Manik",17/07/2011,"00:00","05:55","Charlatan, Vlasmarkt 6, Gent",0,1000
"Rondleiding door de tentoonstelling van Taptoes erfgoed","Luk De Bruyker, stichter en bezieler van Theater Taptoe, neemt zijn publiek op sleeptouw door de rijke Taptoe- geschiedenis. Een boeiende tocht met veel anekdotes.",17/07/2011,"11:00","12:00","Provinciehuis, Gouvernementstraat 1, Gent",1,50
"Sherlock Holmes in het Patershol (zoektocht zonder gids)","Zoektocht in 1 van Gents oudste en gezelligste wijken. Aan de hand van een leidraad, vragen en raadsels leer je het Patershol beter kennen. Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",22/07/2011,"00:00","00:00","Sint-Veerleplein /, Gent",0,50
"Algemene rondleiding in het Gents dialect.","Om helemaal in de stemming te komen worden we rondgeleid in het Gents dialect. Wa zegde? In 't Gens? Ja, ja en mee veel zwier la fleur. Allez tot tons; da zumme nog zien! (Gilberte Neyt - Ferdinand Cobbaut)",21/07/2011,"14:30","16:00","Plantentuin Universiteit Gent, Karel Lodewijk Ledeganckstraat , Gent",1,50
"The Insect Circus Museum - The Insect Circus (UK)","Sir Ronald McPeak en Lady Bonnie Berkeley zijn de stichters van het Grand Travelling Insect Circus Museum. In een authentieke mahogany Bedfort komen ze ons verbazen met hun bijzonder museum van een insectencircus.",22/07/2011,"15:00","20:00","Sint-Baafssite, Gandastraat , Gent",0,50
"Outsiders: kunst in de marge","De werelden van kunst en waanzin hebben elkaar doorheen de geschiedenis met regelmaat geïnspireerd. Outsiderkunstenaars maken eigenzinige omzwervingen door de wereld van kunst, esthetiek en creativiteit.",22/07/2011,"09:00","17:00","Museum Dr. Guislain, Jozef Guislainstraat 43, Gent",1,100
"Ka-Bal: danstheater met live muziek","Ka-Bal combineert live muziek met dans in telkens drie korte voorstellingen per avond, gebracht door een schare Belgische en internationale artiesten voor wie geen uitdaging te veel is.",20/07/2011,"20:00","21:00","Minnemeers (NT2Gent), Minnemeers 9, Gent",0,50000
"Theeconcert - Erika Pauwels","Erika Pauwels in samenwerking met de Dienst Feestelijkheden. Zij presenteert jong zangtalent in opera-, operette- en musicalfragmenten.",17/07/2011,"14:30","17:00","Vlaamse Opera, Schouwburgstraat , Gent",0,50
"Sherlock Holmes in het Patershol (zoektocht zonder gids)","Zoektocht in 1 van Gents oudste en gezelligste wijken. Aan de hand van een leidraad, vragen en raadsels leer je het Patershol beter kennen. Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",23/07/2011,"00:00","00:00","Sint-Veerleplein /, Gent",0,50
"Design van 1880 tot vandaag","De collecties 20ste-eeuwse en hedendaagse vormgeving in het Design museum Gent zijn meer dan een ommetje waard. U kan kennismaken met ontwerpen van Van de Velde, Rietveld, Hoffmann, Mendini, Van Severen, Arad, ....",24/07/2011,"10:00","18:00","Design Museum Gent, Jan Breydelstraat 5, Gent",0,1000
"Belcanto-ontbijt in het Huis van Alijn","Geniet in de binnentuin van een lekker ontbijt met een streepje muziek. Keuze tussen een Belcanto-ontbijt (€ 7) en een Belcanto-Royal-ontbijt (mét bubbels - € 10). Welkom tussen 10 en 12 uur! Graag aanmelden vanaf 10 pers. Dit is echter geen reservatie.",21/07/2011,"10:00","12:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"Havenrondvaarten met het havenjacht ""Jacob van Artevelde""","Ga tijdens de Gentse Feesten mee op verkenning in de haven. We starten aan de Rigakaai en varen helemaal tot aan ArcelorMittal.  U maakt kennis met alle dokken en met alle belangrijke spelers zoals oa Volvo, Stora Enso, Bio Base Europe, enz",24/07/2011,"16:30","18:00","Rigakaai - tegenover WEBA, Rigakaai 0375, Gent",1,100
"Boottocht met Hanneke Tanneke Toverheks + gratis ijsje. Duur 40 min.","Vaar mee met Hanneke Tanneke: een lelijke, vrolijke, superslordige heks die de Gentse wateren tijdens de Feesten onveilig maakt. Kleuters en kinderen tot 8 jaar helpen Hanneke om een heel speciale toverdrank te brouwen.",18/07/2011,"16:00","16:40","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"Fotografietentoonstelling Ground van Bruno Stevens","Fotojournalist Bruno Stevens brengt in een 100-tal foto’s het resultaat van de ontmoetingen en gebeurtenissen van de voorbije 10  jaar in het Midden-Oosten. Deze foto’s verschenen in bvb. The Sunday Times, Newsweek, Paris-Match, etc.",17/07/2011,"10:00","18:00","Kunsthal Sint-Pietersabdij, Sint-Pietersplein 9, Gent",0,50
"Hotel Jarretelle","De langbenige Pascale Platel verhuurt u graag een kamer voor de nacht en gluurt met u door het sleutelgat naar haar extravagante gasten. Delicieuse dames, burlesque bunnies en drinks on the rocks, welkom in onze cabareteske suite deluxe!",16/07/2011,"22:00","23:30","Balzaal, Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000
"Vrijmetselarij, het verhaal van passer en winkelhaak","Vrijmetselarij blijft gehuld in een waas van geheimzinnigheid. We lichten een tipje van de sluier op: ontstaan en invloed van de organisatie, reacties van Kerk en Staat, de Gentse maçons en hun 'werkplaatsen',...",23/07/2011,"19:00","21:00","Minardschouwburg, Walpoortstraat 15, Gent",0,50
"Rosa / De Laatste Roos","Twee komische monologen voor de prijs van één:   Roza: een wc-madam en de mannen in haar leven.  De Laatste Roos: een lustige weduwe opnieuw verliefd.  Tekst en regie: Frans Van Lancker.  Spel: Natalie Donck",17/07/2011,"15:30","17:30","Brasserie Yanko, Henleykaai 4, Gent",1,100
"Van gekleutst ei tot Woaterzeuij de luukse","Een boeiende introductie in de Gentse keuken en haar woordenschat",20/07/2011,"16:00","17:15","Lakenmetershuis/Willemsfonds -Vrijdagsmarkt, Vrijdagmarkt 24-25, Gent",1,100
"Romantic Paddling","Romantische rondvaart in de oude Gentse binnenstad met een Canadese kano, al dan niet voorzien van een bubbeltje.  Voor mensen met een sportieve ingesteldheid en zin voor avontuur en cultuur.",18/07/2011,"10:00","19:00","Sint Michielsbrug, Predikherenlei 2, Gent",0,50
